method,label,candidate,source_job,checkpoint_step,status,setting,source_scoreboard,environment_count,query_count,action_eligible_decisions_all,centroid_ade_px,centroid_fde_px,psnr_multiview,ssim_multiview,lpips_multiview,action_success_all
ours,Ours (random C32),reference,88823,7272,scored,Original random-C32 alternating curriculum; 1000 steps per wave.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/metrics/complete_v1/scoreboard.csv,10,90,25,3.853982523115905,7.593104764861884,31.975629636976453,0.951259572390053,0.04951219680822558,0.68
joint_model_latent_training_curriculum700_step4200,Joint model-Z (700-step cycle),1,,4200,scored,Progressive curriculum; model and environment codes update jointly; 700 steps per wave.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/metrics/complete_v1/scoreboard.csv,10,90,25,7.030309158849763,15.662208581836534,31.203474744160967,0.9465033932692475,0.06571767023868032,0.64
all_active_joint_no_curriculum,No curriculum + joint,3,,5200,scored,All 35 training environments active from the beginning; joint model/code updates.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/methods/all_active_joint_no_curriculum/step_5200/seed_20260708/metrics/complete_v1/scoreboard.csv,10,90,25,5.683753399231643,12.282131457127537,31.696891170077855,0.9506561475992203,0.05469606659478612,0.6
all_active_iterative_no_curriculum,No curriculum + iterative,4,,7000,scored,All 35 training environments active from the beginning; alternating 200-step model/code blocks.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/metrics/complete_v1/scoreboard.csv,10,90,25,6.172847052798156,12.814221897475395,31.799470074971516,0.9514290887117385,0.05491223529809051,0.56
ours_context_dim_4,C=4 + MLP,6,115984,6300,scored,"Independent U(0,1) 4-D codes; standard 1000-step alternating curriculum; 30 actually active environments at the evaluated checkpoint, out of the intended 35.",results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/methods/ours_context_dim_4/train_job_115984/step_6300/seed_20260708/metrics/complete_v1/scoreboard.csv,10,90,25,3.7109383077464835,7.2217236202268555,29.353058920966255,0.9494014454219076,0.054590475062529245,0.76
ours_direct_environment_token,Direct token (3072-D),8,115985,7700,scored,One 3072-D code per environment; identity projection; Gaussian initialization with mean 0 and std 0.02; standard alternating curriculum; all 35 environments active.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/methods/ours_direct_environment_token/train_job_115985/step_7700/seed_20260708/metrics/complete_v1/scoreboard.csv,10,90,25,94.50096389859173,80.48856342985117,15.217768075731067,0.3555272972335418,0.7626366290781232,0.24
latent_c32_shared_88822,C32 shared initialization,9,88822,6814,scored,Historical shared-initialization C32 run; retain the recorded training configuration.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/metrics/complete_v1/scoreboard.csv,10,90,25,7.937948769352005,15.981127792424653,30.63829097747803,0.9465510469343927,0.06312063518497679,0.56
latent_c32_jitter005_89030,"C32 random [-0.05, 0.05]",10,89030,7000,scored,Historical small-range random-initialization C32 run; retain the recorded training configuration.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/metrics/complete_v1/scoreboard.csv,10,90,25,4.809304811860108,9.732615606390933,32.172175047132704,0.9508689274721676,0.049499506068726384,0.6
iterative_c32_100_100,Alternating Z/model (100/100),iteration_frequency_100_100,118064,6900,scored,C32; initial model300; each wave new-C200 then (all-C100/model100) x4; two GPUs with 4env x4chunks per rank; 24-hour limit; 35 actually active environments at step6900.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/methods/iterative_c32_100_100/train_job_118064/step_6900/seed_20260708/metrics/complete_v1/scoreboard.csv,10,90,25,5.414023090831621,11.50430121875326,32.207549307081436,0.9530709739029408,0.04843304695354568,0.52
iterative_c32_400_400,Alternating Z/model (400/400),iteration_frequency_400_400,118065,6300,scored,C32; initial model300; each wave new-C200 then all-C400/model400; two GPUs with 4env x4chunks per rank; 24-hour limit; 30 actually active environments at step6300 of the intended 35.,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1/methods/iterative_c32_400_400/train_job_118065/step_6300/seed_20260708/metrics/complete_v1/scoreboard.csv,10,90,25,4.313381452799517,8.800436380599736,32.43000072903103,0.9528338235782252,0.05073743859926859,0.6
